Title,Price,Rating,Availability
Chase Me (Paris Nights #2),£25.27,Five,In stock
Black Dust,£34.53,Five,In stock
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock
First and First (Five Boroughs #3),£15.97,Four,In stock
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock
The Wedding Dress,£24.12,One,In stock
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock
Something More Than This,£16.24,Four,In stock
Doing It Over (Most Likely To #1),£35.61,Three,In stock
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock
Dirty (Dive Bar #1),£40.83,Four,In stock
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock
"Sit, Stay, Love",£20.90,Three,In stock
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock
The Perfect Play (Play by Play #1),£59.99,Three,In stock
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock
Changing the Game (Play by Play #2),£13.38,Three,In stock
A Walk to Remember,£56.43,One,In stock
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock
The Obsession,£45.43,One,In stock
Reservations for Two,£11.10,Three,In stock
Best of My Love (Fool's Gold #20),£27.41,Two,In stock
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock
This One Moment (Pushing Limits #1),£48.71,One,In stock
"Rhythm, Chord & Malykhin",£28.34,Two,In stock
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock
Listen to Me (Fusion #1),£58.99,Three,In stock
Imperfect Harmony,£34.74,Four,In stock
Fighting Fate (Fighting #6),£39.24,Three,In stock
Deep Under (Walker Security #1),£47.09,Five,In stock
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock
Bounty (Colorado Mountain #7),£37.26,Four,In stock
